catalog: 156 frames, 116 images (20 colour)
building 156 frames with 1 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual   comp  dot    peak    KiB     s
  cached image  50  L071-L073  dy,dx 1->2 +0.16,-0.40  3->2 -0.38,-0.84
  cached image  55  R000-R002  dy,dx 1->2 +0.11,+0.27  3->2 -0.19,+0.19
  cached image  60  R007-R009  dy,dx 1->2 +0.21,-2.27  3->2 -0.56,-0.05
  cached image  78  R027-R029  dy,dx 1->2 -0.16,-1.13  3->2 -0.22,-0.06
  cached image  89  R040-R042  dy,dx 1->2 +0.31,+0.45  3->2 -0.43,+0.05
  cached image  94  R047-R049  dy,dx 1->2 +0.45,-1.34  3->2 -0.42,-0.52
  cached image  97  R052-R054  dy,dx 1->2 +0.27,-0.29  3->2 -0.54,+0.55
  cached image 112  R069-R071  dy,dx 1->2 +0.25,-0.18  3->2 -0.61,-0.85
  cached image 114  R073-R075  dy,dx 1->2 +0.54,+0.93  3->2 -0.72,+1.14
  wrote /Users/josh/code/golden-record-images/data/cache/n2n_triplets.npz (19 triplets)
training the shipped denoiser on all 19 triplets (mps)
    step     0  n2n loss 0.02333
    step   500  n2n loss 0.02473
    step  1000  n2n loss 0.05311
    step  1500  n2n loss 0.04669
    step  2000  n2n loss 0.03936
    step  2500  n2n loss 0.03204
    step  2999  n2n loss 0.03248
  0/156 re-decoded and denoised
  20/156 re-decoded and denoised
  40/156 re-decoded and denoised
  60/156 re-decoded and denoised
  80/156 re-decoded and denoised
  100/156 re-decoded and denoised
  120/156 re-decoded and denoised
  140/156 re-decoded and denoised

156/156 frames reconstructed -> data/thumbs_ml/
  change in grey levels: mean 1.612  median 1.634  max 2.705

  CALIBRATION CIRCLE -- the check a denoiser cannot game:
    axis ratio  1.0052 -> 1.0054
    radial rms  0.836 -> 0.849 px
    inliers     190 -> 191
    PASS

wrote docs/reconstruct_report.json
ALL DONE
